Cod_pat,Time,Ax,Ay,Az,Mx,My,Mz,Ch,Label
11111,13/5/2018 12:39:46,-1.37,1.14,9.73,43,1.55,-57.65,2.06,0
11111,13/5/2018 12:39:48,-1.33,1.1,9.61,43.27,1.09,-57.76,1.44,0
11111,13/5/2018 12:39:49,-1.37,1.14,9.65,43.27,1.45,-57.24,1.93,0
11111,13/5/2018 12:39:51,-1.29,1.1,9.73,43.36,1.36,-57.35,1.8,0
11111,13/5/2018 12:39:53,-1.41,1.1,9.69,43.55,1.27,-57.35,1.67,0
11111,13/5/2018 12:39:54,-1.41,1.18,9.73,43.27,1.36,-57.35,1.8,0
11111,13/5/2018 12:39:56,-1.45,1.06,9.61,43.18,1.18,-57.76,1.57,0
11111,13/5/2018 12:39:57,-1.33,1.1,9.69,43.27,1.18,-57.45,1.56,0
11111,13/5/2018 12:40:02,-1.33,1.1,9.65,43.27,1.09,-57.76,1.44,0
11111,13/5/2018 12:40:04,-1.37,1.14,9.69,43.27,1.36,-57.24,1.8,0
11111,13/5/2018 12:40:06,-1.33,1.14,9.65,43.36,1.09,-57.35,1.44,0
11111,13/5/2018 12:40:07,-1.37,1.14,9.69,43.27,1.27,-57.35,1.68,0
11111,13/5/2018 12:40:09,-1.33,1.14,9.69,43.36,1.45,-57.76,1.92,0
11111,13/5/2018 12:40:11,-1.29,1.14,9.69,43.27,1.27,-57.35,1.68,0
11111,13/5/2018 12:40:12,-1.37,1.18,9.69,43.36,1.09,-57.65,1.44,0
11111,13/5/2018 12:40:14,-1.33,1.18,9.57,43.18,1.27,-57.65,1.69,0
11111,13/5/2018 12:40:16,-1.33,1.18,9.69,43.18,1,-57.04,1.33,0
11111,13/5/2018 12:40:17,-1.37,1.18,9.65,43.18,1.18,-57.35,1.57,0
11111,13/5/2018 12:40:19,-1.29,1.14,9.73,43.09,1.09,-57.35,1.45,0
11111,13/5/2018 12:40:22,-1.37,1.1,9.73,43.09,1.09,-57.35,1.45,0
11111,13/5/2018 12:40:22,-1.26,1.18,9.57,43.45,1.55,-57.35,2.04,0
11111,13/5/2018 12:40:24,-1.33,1.14,9.69,42.91,1.36,-57.14,1.82,0
11111,13/5/2018 12:40:25,-1.41,1.14,9.69,43.27,1.64,-57.45,2.17,0
11111,13/5/2018 12:40:27,-1.37,1.18,9.69,43.27,1.36,-57.55,1.8,0
11111,13/5/2018 12:40:29,-1.37,1.02,9.65,43.27,1,-57.45,1.32,0
11111,13/5/2018 12:40:30,-1.37,1.06,9.69,43.09,1.36,-57.24,1.81,0
11111,13/5/2018 12:40:32,-1.29,1.1,9.61,43.18,1.27,-57.45,1.69,0
11111,13/5/2018 12:40:34,-1.41,1.18,9.65,43.27,1.45,-57.45,1.93,0
11111,13/5/2018 12:40:35,-1.33,1.1,9.69,43.36,1.09,-57.35,1.44,0
11111,13/5/2018 12:40:37,-1.37,1.14,9.69,43.36,1.18,-57.45,1.56,0
11111,13/5/2018 12:40:39,-1.33,1.1,9.53,43.55,1.36,-57.55,1.79,0
11111,13/5/2018 12:40:40,-1.33,1.18,9.61,43.55,1.09,-57.65,1.44,0
11111,13/5/2018 12:40:42,-1.41,1.1,9.57,43.36,1.27,-57.45,1.68,0
11111,13/5/2018 12:40:44,-1.33,1.22,9.65,43.36,1.27,-57.76,1.68,0
11111,13/5/2018 12:40:45,-1.37,1.14,9.61,43.55,1.36,-57.55,1.79,0
11111,13/5/2018 12:40:47,-1.33,1.18,9.65,43.45,1.18,-57.35,1.56,0
11111,13/5/2018 12:40:48,-1.29,1.1,9.61,43.36,1.09,-57.35,1.44,0
11111,13/5/2018 12:40:50,-1.33,1.1,9.65,43.27,1.18,-57.35,1.56,0
11111,13/5/2018 12:40:52,-1.29,1.1,9.69,43.36,1.18,-57.35,1.56,0
11111,13/5/2018 12:40:53,-1.37,1.18,9.65,43.27,1.45,-57.45,1.93,0
11111,13/5/2018 12:40:55,-1.37,1.14,9.73,43.36,1.09,-57.55,1.44,0
11111,13/5/2018 12:40:57,-1.41,1.18,9.61,43.36,1.36,-57.86,1.8,0
11111,13/5/2018 12:40:58,-1.37,1.06,9.69,43.27,1,-57.55,1.32,0
11111,13/5/2018 12:41:00,-1.41,1.18,9.69,43.45,1.45,-57.35,1.92,0
11111,13/5/2018 12:41:02,-1.45,1.14,9.69,43.27,1.18,-57.76,1.56,0
11111,13/5/2018 12:41:03,-1.33,1.1,9.61,43.27,1,-57.65,1.32,0
11111,13/5/2018 12:41:05,-1.33,1.18,9.57,43.27,1.36,-57.76,1.8,0
11111,13/5/2018 12:41:08,-1.37,1.14,9.61,43.36,1.36,-57.76,1.8,0
11111,13/5/2018 12:41:11,-1.33,1.1,9.61,43,1.27,-57.65,1.7,0
11111,13/5/2018 12:41:13,-1.33,1.06,9.65,43.36,1.18,-57.45,1.56,0
